episode,reward,moving_average_100
240,-200.0,-195.64
241,-200.0,-195.64
242,-200.0,-195.64
243,-200.0,-195.64
244,-200.0,-195.64
245,-200.0,-195.95
246,-200.0,-195.95
247,-200.0,-196.06
248,-200.0,-196.06
249,-119.0,-195.25
250,-200.0,-195.25
251,-200.0,-195.25
252,-200.0,-195.25
253,-200.0,-195.25
254,-200.0,-195.25
255,-200.0,-195.25
256,-200.0,-195.25
257,-200.0,-195.25
258,-200.0,-195.41
259,-200.0,-195.41
260,-200.0,-195.41
261,-200.0,-195.41
262,-200.0,-195.41
263,-150.0,-194.91
264,-200.0,-194.91
265,-200.0,-194.91
266,-160.0,-194.51
267,-188.0,-194.39
268,-141.0,-193.8
269,-146.0,-193.26
270,-200.0,-193.26
271,-200.0,-193.26
272,-200.0,-193.26
273,-200.0,-193.26
274,-200.0,-193.26
275,-200.0,-193.26
276,-200.0,-193.88
277,-200.0,-193.88
278,-200.0,-193.88
279,-200.0,-193.88
280,-200.0,-193.88
281,-200.0,-193.88
282,-200.0,-193.88
283,-200.0,-193.88
284,-200.0,-193.88
285,-165.0,-193.53
286,-200.0,-193.53
287,-126.0,-192.79
288,-200.0,-192.79
289,-200.0,-192.79
290,-200.0,-192.79
291,-200.0,-192.79
292,-200.0,-192.79
293,-200.0,-192.79
294,-200.0,-192.79
295,-173.0,-192.52
296,-200.0,-192.52
297,-200.0,-192.52
298,-200.0,-192.52
299,-200.0,-192.52
300,-149.0,-192.01
301,-200.0,-192.01
302,-200.0,-192.64
303,-200.0,-192.64
304,-200.0,-192.64
305,-200.0,-192.64
306,-200.0,-192.64
307,-165.0,-192.39
308,-200.0,-192.58
309,-200.0,-192.58
310,-200.0,-192.58
311,-200.0,-192.58
312,-200.0,-192.92
313,-200.0,-192.92
314,-190.0,-193.18
315,-153.0,-192.71
316,-200.0,-192.71
317,-200.0,-192.71
318,-200.0,-192.71
319,-119.0,-192.68
320,-200.0,-192.68
321,-200.0,-192.68
322,-200.0,-193.44
323,-200.0,-193.44
324,-200.0,-193.44
325,-200.0,-193.44
326,-200.0,-193.44
327,-200.0,-193.44
328,-200.0,-193.44
329,-200.0,-193.44
330,-173.0,-193.17
331,-158.0,-192.75
332,-200.0,-192.75
333,-200.0,-192.75
334,-200.0,-192.75
335,-200.0,-192.75
336,-200.0,-192.75
337,-200.0,-192.75
338,-200.0,-192.75
339,-200.0,-192.75
340,-200.0,-192.75
341,-200.0,-192.75
342,-200.0,-192.75
343,-200.0,-192.75
344,-193.0,-192.68
345,-200.0,-192.68
346,-200.0,-192.68
347,-200.0,-192.68
348,-174.0,-192.42
349,-197.0,-193.2
350,-200.0,-193.2
351,-200.0,-193.2
352,-157.0,-192.77
353,-200.0,-192.77
354,-200.0,-192.77
355,-200.0,-192.77
356,-200.0,-192.77
357,-200.0,-192.77
358,-200.0,-192.77
359,-166.0,-192.43
360,-200.0,-192.43
361,-200.0,-192.43
362,-200.0,-192.43
363,-200.0,-192.93
364,-161.0,-192.54
365,-200.0,-192.54
366,-200.0,-192.94
367,-200.0,-193.06
368,-200.0,-193.65
369,-200.0,-194.19
370,-200.0,-194.19
371,-200.0,-194.19
372,-200.0,-194.19
373,-200.0,-194.19
374,-200.0,-194.19
375,-200.0,-194.19
376,-200.0,-194.19
377,-200.0,-194.19
378,-200.0,-194.19
379,-200.0,-194.19
380,-200.0,-194.19
381,-200.0,-194.19
382,-200.0,-194.19
383,-200.0,-194.19
384,-200.0,-194.19
385,-200.0,-194.54
386,-200.0,-194.54
387,-200.0,-195.28
388,-200.0,-195.28
389,-200.0,-195.28
390,-200.0,-195.28
391,-200.0,-195.28
392,-168.0,-194.96
393,-200.0,-194.96
394,-200.0,-194.96
395,-170.0,-194.93
396,-200.0,-194.93
397,-200.0,-194.93
398,-200.0,-194.93
399,-179.0,-194.72
